exp_num, width,batchnorm,skip,opt, epoch,lr,wd,bs,mo,lr-decay,train_loss, train_err, val_loss,val_err, flatness, div
1740,4,False,False,sgd,250,0.01,0.0001,64,0.0,True, 5.423193930531852e-05, 0.0, 4.271653739929199, 38.3, 0.029171438396142658, 1.9990998181525252
1729,6,False,True,sgd,250,0.01,0.0,64,0.0,True, 1.6049480446381496e-05, 0.0, 2.678105781173706, 26.32, 0.037161638794851265, 1.9916180849097795
325,6,True,True,sgd,250,0.005,0.0,32,0.0,True, 2.613164902839344e-05, 0.0, 1.4421439933776856, 27.33, 0.004605162910418569, 1.9948647766608563
1578,4,False,False,sgd,250,0.05,0.0001,32,0.0,False, 0.012142139299958945, 0.35400005126953127, 1.6830164745330811, 26.07, 0.05519018594902653, 2.0070683530769835
1256,8,False,False,sgd,250,0.05,0.0001,16,0.0,False, 0.019951395856142043, 0.6020000756835937, 1.266352767944336, 23.5, 0.07448701341689742, 1.995310297486654
627,4,True,False,sgd,250,0.05,0.01,32,0.5,False, 1.126298274307251, 38.9820000390625, 1.1654198863983154, 40.51, 0.06996520724458226, 1.99652420248606
1856,8,False,True,sgd,250,0.05,0.0,64,0.5,True, 6.6551017796155065e-06, 0.0, 2.021027989959717, 20.3, 0.048360364779372104, 1.9995614902524403
1608,4,False,True,sgd,250,0.05,0.01,32,0.9,False, 2.040958970489502, 73.62800000366211, 2.036208490943909, 73.32, 0.7004601202117602, 1.990973814082482
205,6,True,True,sgd,250,0.01,0.01,16,0.9,False, 1.1816483327865601, 40.950000009765624, 1.1932580457687378, 41.44, 0.11654861473472569, 1.9928096103604789
8,8,True,True,sgd,250,0.005,0.01,16,0.0,True, 0.01902742559015751, 0.002, 0.34295747156143186, 10.22, 0.0046790332306646965, 2.000518607751639
1844,8,False,True,sgd,250,0.05,0.01,64,0.0,True, 0.007364194489866495, 0.0, 1.9994894325256347, 37.47, 0.07686347426918096, 1.9926873378242316
282,4,True,False,sgd,250,0.05,0.0001,16,0.0,False, 0.02075745263338089, 0.6460000756835937, 0.8056114446640015, 17.1, 0.027022297838834527, 1.9923337368326017
1927,6,False,True,sgd,250,0.05,0.0,64,0.9,False, 1.6647099113845825, 56.71999999633789, 1.7501135068893432, 59.42, 0.739089598638091, 1.9918494479822544
777,4,True,True,sgd,250,0.01,0.0001,64,0.5,True, 6.16607284732163e-05, 0.0, 1.2525031742095947, 24.85, 0.004714956714696181, 1.9994524658674646
1139,8,False,True,sgd,250,0.01,0.0001,16,0.0,False, 8.536796569125726e-05, 0.0, 2.4228617042541503, 23.49, 0.002684196561710377, 1.9955180641561863
805,6,True,False,sgd,250,0.01,0.0001,64,0.9,True, 8.186332700075582e-05, 0.0, 0.6730784854888916, 15.39, 0.015659129031445836, 1.9954702954024026
552,4,True,False,sgd,250,0.05,0.0001,32,0.0,True, 5.1812210091156885e-05, 0.0, 0.7494738899230957, 15.65, 0.01792649644646249, 1.999862324328067
1562,8,False,False,sgd,250,0.05,0.0001,32,0.9,True, 2.3025853229522704, 89.9999999987793, 2.302585248184204, 90.0, 9.722702135096123, 2.0129429281777393
1112,8,False,False,sgd,250,0.01,0.0001,16,0.5,True, 4.3074331275420264e-05, 0.0, 2.1911139442443845, 25.11, 0.044422312233117135, 1.998154620803308
1370,8,False,True,sgd,250,0.005,0.0,32,0.5,False, 5.90801238649874e-07, 0.0, 2.699309185409546, 23.77, 0.026590318413287094, 1.9959967725785843
1624,6,False,True,sgd,250,0.005,0.0001,64,0.0,True, 7.330774311674759e-05, 0.0, 2.7054143955230714, 28.28, 0.03897561668969895, 1.994716306947183
1417,6,False,False,sgd,250,0.01,0.0001,32,0.0,True, 3.459012032370083e-05, 0.0, 3.435477752685547, 32.61, 0.029843809649805965, 1.9936915395024293
377,8,True,False,sgd,250,0.005,0.01,32,0.9,True, 0.024780168348550798, 0.0, 0.38615625019073485, 10.65, 0.01898416383274161, 1.9975231539545961
1490,8,False,False,sgd,250,0.01,0.0001,32,0.5,False, 4.7586326624732464e-05, 0.0, 3.174465466117859, 28.4, 0.014370422072769902, 2.015114469255591
809,8,True,False,sgd,250,0.01,0.01,64,0.9,True, 0.02409611968278885, 0.0, 0.3821626733779907, 10.93, 0.01852247703049399, 1.9981049147006467
