Epoch,Projection to eig-vec 0,Projection to eig-vec 1,Projection to eig-vec 2,Projection to eig-vec 3,Projection to eig-vec 4,Residual Norm
0,0.2120241,0.13902701,0.07811003,0.013087531,0.003307222,0.26938185
1,0.3498782,-0.046441764,-0.06712509,-0.01554327,-0.005094382,0.36471426
2,0.069938436,-0.1071015,0.03220315,0.04576615,0.025099237,0.14666478
3,0.03462672,-0.074315004,0.0457085,0.017535064,-0.006194338,0.10050269
4,0.02073679,-0.051107734,0.0428941,-0.001079494,-0.015407975,0.07647972
5,0.012786026,-0.037911583,0.036071226,-0.010001306,-0.014622537,0.061722532
6,0.005060656,-0.030217275,0.02892098,-0.016221844,-0.014014936,0.052014064
7,0.00433913,-0.02284197,0.024828753,-0.01717284,-0.008336322,0.04422508
8,0.004086198,-0.017560247,0.020626891,-0.019154117,-0.0069937,0.039555956
9,0.001085862,-0.014798815,0.018186467,-0.018364875,-0.003570091,0.03536863
10,-3.64E-05,-0.012755265,0.015652632,-0.017937712,-0.000669117,0.032467235
11,-0.000582384,-0.010330157,0.013271244,-0.01761329,0.001033105,0.02988054
12,-0.000477919,-0.008888124,0.010657079,-0.01736478,0.002604535,0.027999403
13,-0.000545951,-0.005800411,0.010845657,-0.016233776,0.002983083,0.026206242
14,-0.000478962,-0.006017648,0.008574872,-0.014836024,0.005575512,0.024829939
15,-0.001961518,-0.00606866,0.006510975,-0.015080226,0.004814009,0.02364949
16,-0.001806331,-0.004998048,0.007463718,-0.013214286,0.005554799,0.022570852
17,-0.002322104,-0.004221951,0.006230024,-0.011163733,0.00795469,0.021276921
18,-0.000695647,-0.002874507,0.004266739,-0.012474184,0.006424455,0.02063628
19,-0.002363874,-0.002474354,0.005121986,-0.010960873,0.007230703,0.01981683
20,-0.002083285,-0.001906296,0.004109765,-0.010226799,0.007300268,0.018847996
21,-0.002749382,-0.003021423,0.003658267,-0.009405578,0.00742609,0.018382374
22,-0.002722969,-0.002063705,0.003329364,-0.009252694,0.007463268,0.017918652
23,-0.003348363,-0.002050808,0.002886748,-0.00816163,0.007015373,0.016696371
24,-0.001754888,-0.000340985,0.002701231,-0.00792456,0.007537874,0.016658073
25,-0.002995073,-0.001411227,0.002005384,-0.006908021,0.007826195,0.015967418
26,-0.002870284,-0.000527737,0.001212376,-0.007080433,0.006586374,0.014893128
27,-0.002684066,-0.000122132,0.001629283,-0.006060103,0.006978503,0.014554664
28,-0.003355677,-0.000274717,0.001162357,-0.005962597,0.007092977,0.014352514
29,-0.002980772,0.000330067,0.000424288,-0.005942876,0.00700186,0.014034928
30,-0.002907657,0.000568696,0.001411463,-0.004823619,0.006268828,0.013118432
31,-0.002803602,0.000345628,0.000529156,-0.004809305,0.005929357,0.012674835
32,-0.003188111,0.000151138,-0.000108615,-0.004664921,0.005717762,0.012250632
33,-0.003339556,-0.000165279,0.000297579,-0.003894264,0.00647209,0.012457771
34,-0.003038693,0.000562209,-0.000819763,-0.004283447,0.005374966,0.011590243
35,-0.002918894,0.000779907,0.000405246,-0.003416441,0.005331877,0.011328102
36,-0.003324815,0.000548939,-0.001010289,-0.003406882,0.005666649,0.011186177
37,-0.003764929,0.000546715,-0.000204437,-0.002765698,0.005948408,0.011146775
38,-0.002560307,0.001029474,-0.000419085,-0.00308551,0.00451186,0.010413354
39,-0.003381319,0.000995944,0.000133473,-0.001951203,0.004762466,0.009948236
40,-0.002787238,0.000534674,-0.001208302,-0.002607795,0.004578936,0.010051669
41,-0.002517061,0.002352005,7.51E-05,-0.001660535,0.004748673,0.009867596
42,-0.004083576,0.000372911,-0.001061143,-0.002729983,0.003433702,0.00917535
43,-0.0028836,0.00155577,-0.00108947,-0.001180836,0.004533521,0.009139696
44,-0.003159735,0.001207527,-0.000804153,-0.002032667,0.003509309,0.00887973
45,-0.003248996,0.000997829,-0.002044187,-0.002117356,0.003759471,0.008898623
46,-0.003210865,0.001069485,-0.00103033,-0.001153532,0.003067649,0.008070461
47,-0.003335339,0.001134197,-0.00089381,-0.000199362,0.004231596,0.008492652
48,-0.003710387,0.002080734,-0.00077759,-0.001504116,0.002628841,0.007797917
49,-0.003178577,0.001526099,-0.001486144,-0.000436837,0.003310603,0.007743812
50,-0.003236,0.001219288,-0.002250643,-0.00171905,0.002130178,0.007553981
51,-0.003023081,0.002250406,-0.001472371,-0.00041196,0.003148518,0.007600582
52,-0.003553452,0.001653153,-0.001060967,7.21E-05,0.002764955,0.007114409
53,-0.003322015,0.001688493,-0.002020202,-0.001353606,0.002134071,0.007269181
54,-0.003289606,0.001011377,-0.001275279,-0.000136464,0.00265813,0.007247717
55,-0.003750613,0.001212201,-0.002202454,-0.000766491,0.002069388,0.006840852
56,-0.002948499,0.001467191,-0.001591705,0.000504996,0.002211594,0.006636655
57,-0.003381688,0.002304194,-0.001189209,-7.31E-05,0.00158814,0.006339043
58,-0.003494263,0.001515115,-0.002029622,0.000587958,0.002317586,0.006426184
59,-0.003218557,0.001466479,-0.00244538,-1.80E-05,0.00191685,0.006441237
60,-0.0032673,0.002035284,-0.001407868,0.000306926,0.001366092,0.006021041
61,-0.003435661,0.00252281,-0.001823682,-0.000208768,0.001449655,0.00615392
62,-0.00351807,0.001600827,-0.001679039,0.000118078,0.001107975,0.005859216
63,-0.002979329,0.001694268,-0.002281312,0.00115602,0.001947968,0.006082463
64,-0.003585286,0.002050322,-0.001408683,-9.19E-05,0.000426302,0.005581549
65,-0.003259916,0.001387154,-0.001928005,0.000768597,0.001237158,0.005732416
66,-0.003508722,0.001800443,-0.002042154,0.000383793,0.001380261,0.005813484
67,-0.003347145,0.001891527,-0.001503129,0.000825539,0.000707406,0.005371885
68,-0.003463006,0.001750613,-0.001939821,0.00083531,0.000900482,0.005361826
69,-0.003465706,0.001940822,-0.002273568,0.000967366,0.001210097,0.005432711
70,-0.003511077,0.00170501,-0.001684732,0.000704289,-8.48E-06,0.004965229
71,-0.003667512,0.001791057,-0.002623038,0.000707503,0.000947038,0.005286888
