Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,FRN,Classical Entropy,Local Entropy,Tr(H),Low pass filter
0,0.0,4,0.0,0.01,32,True,True,0.009386777877807617, 27.28399658203125,60.61072902152524,61608715.920562774,492.4371311396004,202.85818481445312,0.027164148166775703,0.010105225257575512,1947.4153364509468,1.8374267899990082,
1,0.0,4,0.0001,0.01,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,0.0,4,0.0005,0.01,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.0,4,0.0,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.0,4,0.0001,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.0,4,0.0005,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.5,4,0.0,0.01,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.5,4,0.0001,0.01,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.5,4,0.0005,0.01,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.5,4,0.0,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
10,0.5,4,0.0001,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
11,0.5,4,0.0005,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
12,0.9,4,0.0,0.01,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
13,0.9,4,0.0001,0.01,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
14,0.9,4,0.0005,0.01,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
15,0.9,4,0.0,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
16,0.9,4,0.0001,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
17,0.9,4,0.0005,0.01,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
18,0.0,4,0.0,0.0075,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
19,0.0,4,0.0001,0.0075,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
20,0.0,4,0.0005,0.0075,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
21,0.0,4,0.0,0.0075,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
22,0.0,4,0.0001,0.0075,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
23,0.0,4,0.0005,0.0075,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
24,0.5,4,0.0,0.0075,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
25,0.5,4,0.0001,0.0075,32,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
